,english sentence,korean sentence informal,korean sentence formal,essential pos tagging
43,We clean our room every week.,우리는 매주 우리 방을 청소한다.,우리는 매주 우리 방을 청소합니다.,"['우리', '매주', '우리', '방', '청소하다']"
44,He rides his bike to school.,그는 학교에 그의 자전거를 타고 간다.,그는 학교에 그의 자전거를 타고 갑니다.,"['그', '학교', '그', '자전거', '타다', '가다']"
45,She helps her mom in the kitchen.,그녀는 부엌에서 그녀의 엄마를 도와준다.,그녀는 부엌에서 그녀의 엄마를 도와줍니다.,"['그녀', '부엌', '그녀', '엄마', '돕다']"
46,The moon is bright.,달이 밝다.,달이 밝습니다.,"['달', '밝은']"
47,I watch cartoons on TV.,나는 TV로 만화를 본다.,저는 TV로 만화를 봅니다.,"['나', 'TV', '만화', '보다']"
48,They jump on the trampoline.,그들은 트램폴린에서 뛴다.,그들은 트램폴린에서 뜁니다.,"['그들', '트램폴린', '뛰다']"
49,My grandparents are kind.,내 조부모님은 친절하다.,내 조부모님은 친절합니다.,"['내', '조부모님', '친절한']"
50,She wears a yellow hat.,그녀는 노란 모자를 쓴다.,그녀는 노란 모자를 씁니다.,"['그녀', '노란', '모자', '쓰다']"
51,We have a picnic in the park.,우리는 공원에서 피크닉을 한다.,우리는 공원에서 피크닉을 합니다.,"['우리', '공원', '피크닉', '하다']"
52,He draws pictures of animals.,그는 동물 그림을 그린다.,그는 동물 그림을 그립니다.,"['그', '동물', '그림', '그리다']"
53,The river flows.,강이 흐른다.,강이 흐릅니다.,"['강', '흐르다']"
54,I wear a green shirt.,나는 초록색 셔츠를 입는다.,저는 초록색 셔츠를 입습니다.,"['나', '초록색', '셔츠', '입다']"
55,They play hide-and-seek.,그들은 숨바꼭질을 한다.,그들은 숨바꼭질을 합니다.,"['그들', '숨바꼭질', '하다']"
56,She shares her toys with others.,그녀는 그녀의 장난감을 다른 사람들과 공유한다.,그녀는 그녀의 장난감을 다른 사람들과 공유합니다.,"['그녀', '그녀', '장난감', '다른', '사람들', '공유하다']"
57,The wind blows.,바람이 분다.,바람이 붑니다.,"['바람', '불다']"
58,We go on a family trip.,우리는 가족 여행을 간다.,우리는 가족 여행을 갑니다.,"['우리', '가족', '여행', '가다']"
59,He catches a ball.,그는 공을 잡는다.,그는 공을 잡습니다.,"['그', '공', '잡다']"
60,She sleeps soundly at night.,그녀는 밤에 잠을 푹 잔다.,그녀는 밤에 잠을 푹 잡니다.,"['그녀', '밤', '잠', '푹 자다']"
61,The leaves fall from the trees in autumn.,잎은 가을에 나무에서 떨어진다.,잎은 가을에 나무에서 떨어집니다.,"['잎', '가을', '나무', '떨어지다']"
62,I learn new words in English.,나는 영어로 새로운 단어를 배운다.,저는 영어로 새로운 단어를 배웁니다.,"['나', '영어', '새로운', '단어', '배우다']"
63,They ride a roller coaster.,그들은 롤러 코스터를 탄다.,그들은 롤러 코스터를 탑니다.,"['그들', '롤러', '코스터', '타다']"
64,My mom reads a bedtime story.,우리 엄마는 취침 시간 이야기를 읽는다.,우리 엄마는 취침 시간 이야기를 읽습니다.,"['우리', '엄마', '취침 시간', '이야기', '읽다']"
65,She writes a letter to her friend.,그녀는 그녀의 친구에게 편지를 쓴다.,그녀는 그녀의 친구에게 편지를 씁니다.,"['그녀', '그녀', '친구', '편지', '쓰다']"
66,The ocean waves crash on the shore.,바다의 파도가 해안에 부딪힌다.,바다의 파도가 해안에 부딪힙니다.,"['바다', '파도', '해안', '부딪히다']"
67,We eat pizza at the party.,우리는 파티에서 피자를 먹는다.,우리는 파티에서 피자를 먹습니다.,"['우리', '파티', '피자', '먹다']"
68,He likes to watch soccer games.,그는 축구 경기 보는 것을 좋아한다.,그는 축구 경기 보는 것을 좋아합니다.,"['그', '축구', '경기', '보다', '것', '좋아하다']"
69,She dances in the rain.,그녀는 빗속에서 춤을 춘다.,그녀는 빗속에서 춤을 춥니다.,"['그녀', '빗속', '춤', '추다']"
70,The snow falls in winter.,눈은 겨울에 내린다.,눈은 겨울에 내립니다.,"['눈', '겨울', '내리다']"
71,I play with my pet dog.,나는 내 애완견과 논다.,저는 제 애완견과 놉니다.,"['나', '내', '애완견', '놀다']"
72,They make sandcastles at the beach.,그들은 해변에서 모래성을 만든다.,그들은 해변에서 모래성을 만듭니다.,"['그들', '해변', '모래성', '만들다']"
73,My dad fixes things around the house.,우리 아빠는 집 주변의 물건들을 고친다.,우리 아빠는 집 주변의 물건들을 고칩니다.,"['우리', '아빠', '집', '주변', '물건들', '고치다']"
74,The butterfly flies in the garden.,나비가 정원에서 난다.,나비가 정원에서 납니다.,"['나비', '정원', '날다']"
75,We have a family dinner.,우리는 가족 저녁 식사가 있다.,우리는 가족 저녁 식사가 있습니다.,"['우리', '가족', '저녁', '식사', '있다']"
76,He cooks pancakes for breakfast.,그는 아침 식사로 팬케이크를 요리한다.,그는 아침 식사로 팬케이크를 요리합니다.,"['그', '아침 식사', '팬케이크', '요리하다']"
77,She colors pictures in her coloring book.,그녀는 색칠 공부 책에 그림을 색칠한다.,그녀는 색칠 공부 책에 그림을 색칠합니다.,"['그녀', '색칠 공부 책', '그림', '색칠하다']"
78,The fire crackles in the fireplace.,불이 벽난로에서 탁탁 소리를 낸다.,불이 벽난로에서 탁탁 소리를 냅니다.,"['불', '벽난로', '탁탁 소리', '내다']"
79,I ride the school bus to school.,나는 학교에 스쿨 버스를 타고 간다.,저는 학교에 스쿨 버스를 타고 갑니다.,"['나', '학교', '스쿨 버스', '타다', '가다']"
80,They draw pictures with crayons.,그들은 크레파스로 그림을 그린다.,그들은 크레파스로 그림을 그립니다.,"['그들', '크레파스', '그림', '그리다']"
81,My sister takes care of her plants.,내 동생은 그녀의 식물을 돌본다.,내 동생은 그녀의 식물을 돌봅니다.,"['내', '동생', '그녀', '식물', '돌보다']"
82,She jumps on a trampoline.,그녀는 트램폴린에서 뛴다.,그녀는 트램폴린에서 뜁니다.,"['그녀', '트램폴린', '뛰다']"
83,We sing happy birthday songs at parties.,우리는 파티에서 생일 축하 노래를 부른다.,우리는 파티에서 생일 축하 노래를 부릅니다.,"['우리', '파티', '생일 축하 노래', '부르다']"
84,He plays with a toy car.,그는 장난감 자동차를 가지고 논다.,그는 장난감 자동차를 가지고 놉니다.,"['그', '장난감', '자동차', '가지다', '놀다']"
85,The birds chirp in the morning.,새들은 아침에 지저귄다.,새들은 아침에 지저귑니다.,"['새들', '아침', '지저귀다']"
86,I run in the race.,나는 경주에서 달린다.,저는 경주에서 달립니다.,"['나', '경주', '달리다']"
87,They eat popcorn at the movies.,그들은 영화관에서 팝콘을 먹는다.,그들은 영화관에서 팝콘을 먹습니다.,"['그들', '영화관', '팝콘', '먹다']"
88,My mom bakes cookies in the oven.,우리 엄마는 오븐에 쿠키를 굽는다.,우리 엄마는 오븐에 쿠키를 굽습니다.,"['우리', '엄마', '오븐', '쿠키', '굽다']"
89,She waters the plants in the garden.,그녀는 정원에서 식물에 물을 준다.,그녀는 정원에서 식물에 물을 줍니다.,"['그녀', '정원', '식물', '물을 주다']"
90,The thunder roars during a storm.,폭풍이 치는 동안 천둥이 굉음을 낸다.,폭풍이 치는 동안 천둥이 굉음을 냅니다.,"['폭풍', '치다', '동안', '천둥', '굉음', '내다']"
91,We wear jackets in the winter.,우리는 겨울에 자켓을 입는다.,우리는 겨울에 자켓을 입습니다.,"['우리', '겨울', '자켓', '입다']"
92,He shares his lunch with a friend.,그는 그의 점심을 친구와 나눈다.,그는 그의 점심을 친구와 나눕니다.,"['그', '그', '점심', '친구', '나누다']"
93,She plays with a toy doll.,그녀는 장난감 인형을 가지고 논다.,그녀는 장난감 인형을 가지고 놉니다.,"['그녀', '장난감', '인형', '가지다', '놀다']"
94,The butterfly lands on a flower.,나비가 꽃 위에 앉는다.,나비가 꽃 위에 앉습니다.,"['나비', '꽃', '위', '앉다']"
95,I build a sandcastle at the beach.,나는 해변에서 모래성을 짓는다.,저는 해변에서 모래성을 짓습니다.,"['나', '해변', '모래성', '짓다']"
96,They take pictures with a camera.,그들은 카메라로 사진을 찍는다.,그들은 카메라로 사진을 찍습니다.,"['그들', '카메라', '사진', '찍다']"
97,My dad drives a big truck.,우리 아빠는 큰 트럭을 운전한다.,우리 아빠는 큰 트럭을 운전합니다.,"['우리', '아빠', '큰', '트럭', '운전하다']"
98,She plays with a kite in the park.,그녀는 공원에서 연을 가지고 논다.,그녀는 공원에서 연을 가지고 놉니다.,"['그녀', '공원', '연', '가지다', '놀다']"
99,We have a picnic with sandwiches.,우리는 샌드위치를 가지고 피크닉을 한다.,우리는 샌드위치를 가지고 피크닉을 합니다.,"['우리', '샌드위치', '가지다', '피크닉', '하다']"
100,They wake up early in the morning.,그들은 아침에 일찍 일어난다.,그들은 아침에 일찍 일어납니다.,"['그들'. '아침', '일찍', '일어나다']"
